dab1 522 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 5, 0 ] 10 11 218 177 780
7a04 524 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 5, 0 ] 10 0 122 4 780
3a40 526 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 0, 5, 0 ] 10 4 58 64 780
1208 528 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 0, 5, 0 ] 2 0 18 8 780
a30c 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 0, 5, 0 ] 3 0 163 12 780
dab1 522 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 0, 5, 0 ] 10 11 218 177 780
7a04 524 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 0, 0, 5, 0 ] 10 0 122 4 780
3a40 526 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 0, 0, 5, 0 ] 10 4 58 64 780
1208 528 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 0, 0, 5, 0 ] 2 0 18 8 780
a30c 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 0, 0, 5, 0 ] 3 0 163 12 780
dab1 522 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 0, 0, 5, 0 ] 10 11 218 177 780
7a04 524 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 6, 0, 0, 5, 0 ] 10 0 122 4 780
3a40 526 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 0, 0, 5, 0 ] 10 4 58 64 780
1208 528 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 0, 0, 5, 0 ] 2 0 18 8 780
a30c 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 0, 0, 5, 0 ] 3 0 163 12 780
dab1 522 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 0, 0, 5, 0 ] 10 11 218 177 780
7a04 524 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 6, 0, 0, 5, 0 ] 10 0 122 4 780
3a40 526 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 0, 0, 5, 0 ] 10 4 58 64 780
1208 528 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 0, 0, 5, 0 ] 2 0 18 8 780
a30c 520 [ 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 0, 0, 5, 0 ] 3 0 163 12 780
