a30c 664 [ 18, 252, 170, 16, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 3 0 163 12 80
d071 666 [ 18, 252, 170, 12, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 0 7 208 113 80
60fe 668 [ 113, 252, 170, 12, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 0 15 96 254 80
8903 670 [ 254, 252, 170, 12, 0, 0, 113, 31, 1, 1, 64, 2, 254, 0, 5, 0 ] 9 0 137 3 80
22f6 672 [ 254, 252, 170, 12, 0, 0, 113, 31, 1, 3, 64, 2, 254, 0, 5, 0 ] 2 15 34 246 80
7501 674 [ 254, 252, 246, 12, 0, 0, 113, 31, 1, 3, 64, 2, 254, 0, 5, 0 ] 5 0 117 1 80
22f6 676 [ 254, 252, 246, 12, 0, 1, 113, 31, 1, 3, 64, 2, 254, 0, 5, 0 ] 2 15 34 246 80
4560 678 [ 254, 252, 236, 12, 0, 1, 113, 31, 1, 3, 64, 2, 254, 0, 5, 0 ] 5 6 69 96 80
12de 680 [ 254, 252, 236, 12, 0, 97, 113, 31, 1, 3, 64, 2, 254, 0, 5, 0 ] 2 13 18 222 80
1246 682 [ 254, 252, 202, 12, 0, 97, 113, 31, 1, 3, 64, 2, 254, 0, 5, 0 ] 2 4 18 70 80
69ff 684 [ 254, 252, 16, 12, 0, 97, 113, 31, 1, 3, 64, 2, 254, 0, 5, 0 ] 9 15 105 255 80
8060 686 [ 254, 252, 16, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 0 ] 0 6 128 96 80
80c5 688 [ 94, 252, 16, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 0 ] 0 12 128 197 80
3f01 690 [ 35, 252, 16, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 0 ] 15 0 63 1 80
12ca 692 [ 35, 252, 16, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 2 12 18 202 80
6102 694 [ 35, 252, 218, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 1 0 97 2 80
8015 696 [ 35, 2, 218, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 0 1 128 21 80
3f01 698 [ 21, 2, 218, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 15 0 63 1 80
12e0 700 [ 21, 2, 218, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 2 14 18 224 80
8015 702 [ 21, 2, 224, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 0 1 128 21 80
3f01 704 [ 21, 2, 224, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 15 0 63 1 80
12ee 706 [ 21, 2, 224, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 2 14 18 238 80
8015 708 [ 21, 2, 238, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 0 1 128 21 80
3f01 710 [ 21, 2, 238, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 15 0 63 1 80
12e8 712 [ 21, 2, 238, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 2 14 18 232 80
6020 714 [ 21, 2, 232, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 0 2 96 32 80
f018 716 [ 32, 2, 232, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 0 1 240 24 80
a30e 718 [ 24, 2, 232, 12, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 3 0 163 14 80
7eff 720 [ 24, 2, 232, 14, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 5, 1 ] 14 15 126 255 80
80e0 722 [ 24, 2, 232, 14, 0, 97, 113, 31, 1, 2, 64, 2, 254, 0, 255, 1 ] 0 14 128 224 80
